Date,Popularity
2004-01-01,98
2004-02-01,75
2004-03-01,69
2004-04-01,64
2004-05-01,60
2004-06-01,75
2004-07-01,77
2004-08-01,66
2004-09-01,71
2004-10-01,68
2004-11-01,68
2004-12-01,61
2005-01-01,75
2005-02-01,69
2005-03-01,66
2005-04-01,66
2005-05-01,67
2005-06-01,73
2005-07-01,66
2005-08-01,70
2005-09-01,67
2005-10-01,69
2005-11-01,69
2005-12-01,66
2006-01-01,76
2006-02-01,68
2006-03-01,74
2006-04-01,70
2006-05-01,65
2006-06-01,65
2006-07-01,61
2006-08-01,64
2006-09-01,63
2006-10-01,68
2006-11-01,63
2006-12-01,60
2007-01-01,69
2007-02-01,63
2007-03-01,61
2007-04-01,62
2007-05-01,62
2007-06-01,70
2007-07-01,63
2007-08-01,59
2007-09-01,59
2007-10-01,70
2007-11-01,63
2007-12-01,56
2008-01-01,70
2008-02-01,61
2008-03-01,79
2008-04-01,66
2008-05-01,58
2008-06-01,66
2008-07-01,62
2008-08-01,56
2008-09-01,100
2008-10-01,82
2008-11-01,63
2008-12-01,58
2009-01-01,64
2009-02-01,60
2009-03-01,61
2009-04-01,60
2009-05-01,53
2009-06-01,63
2009-07-01,63
2009-08-01,58
2009-09-01,59
2009-10-01,62
2009-11-01,58
2009-12-01,55
2010-01-01,64
2010-02-01,58
2010-03-01,61
2010-04-01,63
2010-05-01,56
2010-06-01,64
2010-07-01,58
2010-08-01,56
2010-09-01,58
2010-10-01,60
2010-11-01,61
2010-12-01,58
2011-01-01,64
2011-02-01,61
2011-03-01,57
2011-04-01,58
2011-05-01,55
2011-06-01,63
2011-07-01,58
2011-08-01,59
2011-09-01,57
2011-10-01,59
2011-11-01,58
2011-12-01,51
2012-01-01,58
2012-02-01,56
2012-03-01,57
2012-04-01,56
2012-05-01,92
2012-06-01,64
2012-07-01,61
2012-08-01,54
2012-09-01,57
2012-10-01,59
2012-11-01,58
2012-12-01,48
2013-01-01,58
2013-02-01,59
2013-03-01,55
2013-04-01,55
2013-05-01,52
2013-06-01,57
2013-07-01,56
2013-08-01,55
2013-09-01,55
2013-10-01,59
2013-11-01,55
2013-12-01,50
2014-01-01,61
2014-02-01,60
2014-03-01,54
2014-04-01,54
2014-05-01,48
2014-06-01,52
2014-07-01,51
2014-08-01,49
2014-09-01,49
2014-10-01,56
2014-11-01,49
2014-12-01,46
2015-01-01,52
2015-02-01,53
2015-03-01,47
2015-04-01,49
2015-05-01,45
2015-06-01,51
2015-07-01,48
2015-08-01,45
2015-09-01,47
2015-10-01,46
2015-11-01,43
2015-12-01,42
2016-01-01,50
2016-02-01,48
2016-03-01,45
2016-04-01,47
2016-05-01,41
2016-06-01,50
2016-07-01,45
2016-08-01,46
2016-09-01,48
2016-10-01,45
2016-11-01,48
2016-12-01,41
2017-01-01,51
2017-02-01,49
2017-03-01,47
2017-04-01,47
