Month,Popularity
2004-01-01,30
2004-02-01,28
2004-03-01,29
2004-04-01,30
2004-05-01,29
2004-06-01,32
2004-07-01,31
2004-08-01,33
2004-09-01,30
2004-10-01,31
2004-11-01,30
2004-12-01,31
2005-01-01,33
2005-02-01,33
2005-03-01,33
2005-04-01,34
2005-05-01,33
2005-06-01,37
2005-07-01,36
2005-08-01,39
2005-09-01,37
2005-10-01,37
2005-11-01,35
2005-12-01,38
2006-01-01,38
2006-02-01,40
2006-03-01,38
2006-04-01,41
2006-05-01,40
2006-06-01,42
2006-07-01,46
2006-08-01,47
2006-09-01,44
2006-10-01,43
2006-11-01,42
2006-12-01,46
2007-01-01,45
2007-02-01,47
2007-03-01,46
2007-04-01,47
2007-05-01,45
2007-06-01,46
2007-07-01,47
2007-08-01,48
2007-09-01,43
2007-10-01,41
2007-11-01,43
2007-12-01,47
2008-01-01,48
2008-02-01,48
2008-03-01,47
2008-04-01,49
2008-05-01,49
2008-06-01,48
2008-07-01,53
2008-08-01,53
2008-09-01,53
2008-10-01,55
2008-11-01,48
2008-12-01,56
2009-01-01,56
2009-02-01,54
2009-03-01,55
2009-04-01,56
2009-05-01,49
2009-06-01,46
2009-07-01,47
2009-08-01,48
2009-09-01,45
2009-10-01,40
2009-11-01,37
2009-12-01,40
2010-01-01,40
2010-02-01,41
2010-03-01,40
2010-04-01,42
2010-05-01,39
2010-06-01,41
2010-07-01,49
2010-08-01,50
2010-09-01,50
2010-10-01,52
2010-11-01,53
2010-12-01,58
2011-01-01,57
2011-02-01,59
2011-03-01,57
2011-04-01,63
2011-05-01,61
2011-06-01,68
2011-07-01,74
2011-08-01,83
2011-09-01,80
2011-10-01,83
2011-11-01,82
2011-12-01,89
2012-01-01,88
2012-02-01,90
2012-03-01,89
2012-04-01,88
2012-05-01,88
2012-06-01,93
2012-07-01,94
2012-08-01,98
2012-09-01,96
2012-10-01,95
2012-11-01,91
2012-12-01,100
2013-01-01,93
2013-02-01,95
2013-03-01,93
2013-04-01,94
2013-05-01,91
2013-06-01,92
2013-07-01,96
2013-08-01,96
2013-09-01,87
2013-10-01,87
2013-11-01,83
2013-12-01,90
2014-01-01,84
2014-02-01,84
2014-03-01,82
2014-04-01,82
2014-05-01,83
2014-06-01,78
2014-07-01,80
2014-08-01,82
2014-09-01,77
2014-10-01,78
2014-11-01,73
2014-12-01,78
2015-01-01,75
2015-02-01,78
2015-03-01,75
2015-04-01,75
2015-05-01,78
2015-06-01,81
2015-07-01,84
2015-08-01,82
2015-09-01,79
2015-10-01,81
2015-11-01,76
2015-12-01,83
2016-01-01,78
2016-02-01,82
2016-03-01,78
2016-04-01,78
2016-05-01,74
2016-06-01,81
2016-07-01,82
2016-08-01,80
2016-09-01,83
2016-10-01,78
2016-11-01,72
2016-12-01,76
2017-01-01,72
2017-02-01,76
2017-03-01,72
2017-04-01,71
